numero,nom_four,autre_nom_four,num_entr,structure,nombre_employes,nombre_employes_mtl,politique_dev_durable,politique_appro_responsable,entreprise_econo_sociale,lieu_arr,lieu_ville,lieu_etat,lieu_pays,lieu_zone_achat
145441,PNEUTECH-ROUSSEAU INC.,NEQ:1169283323,1169283323,*Société par actions/Corporations/Compagnie,174.0,,N,"O Plan, politique ou engagements de DD",N,Lachine,Montreal,QC,CA,Place d'affaires à Montréal
114399,ASPLUNDH CANADA ULC,,1148035307,*Société par actions/Corporations/Compagnie,375.0,,N,N,N,,TERREBONNE,QC,CA,Québec hors Conseil d'agglomération
114661,TWIGG MUSIQUE,INSTRUMENTS DE MUSIQUE TWIGG INC.,1168071323,*Société par actions/Corporations/Compagnie,30.0,,N,N,N,Ville-Marie,MONTREAL,QC,CA,Place d'affaires à Montréal
144704,VEOLIA SERVICES A L'ENVIRONNEMENT,VEOLIA ES MATIERES RESIDUELLES INC.,1143990357,*Société par actions/Corporations/Compagnie,,,N,N,N,,LEVIS,QC,CA,Québec hors Conseil d'agglomération
115568,SERVICE DE FREINS MONTREAL LTEE,,1169307528,*Société par actions/Corporations/Compagnie,55.0,,N,N,N,Rivière-des-Prairies–Pointe-aux-Trembles,MONTREAL,QC,CA,Place d'affaires à Montréal
119801,AGILENT TECHNOLOGIES CANADA INC.,NEQ:1148717821,1148717821,*Société par actions/Corporations/Compagnie,175.0,,N,N,N,Saint-Laurent,Montreal,QC,CA,Place d'affaires à Montréal
104824,QUEST SOFTWARE CANADA INC.,,000000NON,*Société par actions/Corporations/Compagnie,4299.0,,N,N,N,,Toronto,ON,CA,Canada mais hors Québec
140020,CONSTRUCTIONS MICHEL LABBE ENR.,2311-9670 QUEBEC INC.,1140208720,*Société par actions/Corporations/Compagnie,10.0,,N,N,N,,L'ASSOMPTION,QC,CA,Québec hors Conseil d'agglomération
116887,VASERIE P.L.P. CANADA LTEE,,1142039255,*Société par actions/Corporations/Compagnie,15.0,,N,N,N,Rivière-des-Prairies–Pointe-aux-Trembles,MONTREAL,QC,CA,Place d'affaires à Montréal
146872,CALGON INC.,,,*Société par actions/Corporations/Compagnie,,,N,N,N,,RICHMOND HILL,ON,CA,Canada mais hors Québec
128297,STEKE INC.,,1143831346,*Société par actions/Corporations/Compagnie,12.0,,N,N,N,,SHERBROOKE,QC,CA,Québec hors Conseil d'agglomération
139469,T.M.S. MAITRES DES CAMIONS LTEE,,1144447738,*Société par actions/Corporations/Compagnie,38.0,,"O Plan, politique ou engagements de DD","O Plan, politique ou engagements de responsabilité sociale",N,,POINTE-CLAIRE,QC,CA,Conseil d'agglomération hors Montréal
123047,SERVICE D'ENSEIGNE ALAIN AUBRY INC,,1140202095,*Société par actions/Corporations/Compagnie,8.0,,N,N,N,,TERREBONNE,QC,CA,Québec hors Conseil d'agglomération
107485,OSISOFT CANADA ULC,,1160036340,*Société par actions/Corporations/Compagnie,40.0,,N,N,N,Ville-Marie,MONTREAL,QC,CA,Place d'affaires à Montréal
145413,TELECOM U2B,TELECOMMUNICATIONS VOCEM INC.,1164336027,*Société par actions/Corporations/Compagnie,,,N,N,N,Saint-Laurent,MONTREAL,QC,CA,Place d'affaires à Montréal
123107,METRO  NISSAN,4165250 CANADA INC.,1161859153,*Société par actions/Corporations/Compagnie,39.0,,N,N,N,LaSalle,MONTREAL,QC,CA,Place d'affaires à Montréal
113061,CENTRE D'ESCALADE HORIZON ROC,HORIZON ROC INC,1140351926,*Société par actions/Corporations/Compagnie,14.0,,N,"O Plan, politique ou engagements de responsabilité sociale",N,Mercier–Hochelaga-Maisonneuve,MONTREAL,QC,CA,Place d'affaires à Montréal
